From,From FIPS,To,To FIPS,Airline,Flight #,Equipment,Seats,,FIPS,https://www.nrcs.usda.gov/wps/portal/nrcs/detail/national/home/?cid=nrcs143_013697,
SYR,36067,JFK,36081,jetBlue,315,ERJ-190,100,,,,
SYR,36067,JFK,36081,Delta,5151,Canadair Reg. Jet,50,,,,
SYR,36067,JFK,36081,jetBlue,1815,ERJ-190,100,,,,
SYR,36067,JFK,36081,Delta,5147,CRJ-900,76,,,,
SYR,36067,JFK,36081,Delta,4823,CRJ-900,76,,,,
SYR,36067,LGA,36081,Delta,5917,ERJ-170,69,,,,
SYR,36067,LGA,36081,Delta,5276,Canadair Reg. Jet,50,,,,
SYR,36067,LGA,36081,Delta,5614,ERJ-170,69,,,,
SYR,36067,BOS,25025,jetBlue,374,ERJ-190,100,,,,
SYR,36067,BOS,25025,Delta,3497,ERJ-140,44,,,,
SYR,36067,EWR,34013,United,4610,Bombardier Regional Jet 550,50,,,,
SYR,36067,EWR,34013,United,4611,Bombardier Regional Jet 550,50,,,,
SYR,36067,EWR,34013,United,4605,Bombardier Regional Jet 550,50,,,,
ACK,25019,JFK,36081,Cape Air,100,Cessna (Light),9,,,,
ACK,25019,BOS,25025,Cape Air,5021,Cessna (Light),9,,,,
ACK,25019,BOS,25025,Cape Air,5041,Cessna (Light),9,,,,
ACK,25019,BOS,25025,Cape Air,5061,Cessna (Light),9,,,,
ACK,25019,BOS,25025,Cape Air,5121,Cessna (Light),9,,,,
ACK,25019,BOS,25025,Cape Air,5321,Cessna (Light),9,,,,
ACK,25019,BOS,25025,Cape Air,5341,Cessna (Light),9,,,,
ACK,25019,BOS,25025,Cape Air,5081,Cessna (Light),9,,,,
ACK,25019,HYA,25001,Cape Air,7661,Cessna (Light),9,,,,
ACK,25019,HYA,25001,Cape Air,7881,Cessna (Light),9,,,,
ACK,25019,HYA,25001,Cape Air,7781,Cessna (Light),9,,,,
ACK,25019,HYA,25001,Cape Air,7681,Cessna (Light),9,,,,
ACK,25019,HYA,25001,Cape Air,7701,Cessna (Light),9,,,,
