,geonames:4829764,geonames:5879092,geonames:5551752,geonames:4099753,geonames:5332921,geonames:5417618,geonames:4831725,geonames:4142224,geonames:4140963,geonames:4155751,geonames:4197000,geonames:5855797,geonames:5596512,geonames:4896861,geonames:4921868,geonames:4862182,geonames:4273857,geonames:6254925,geonames:4331987,geonames:4971068,geonames:4361885,geonames:6254926,geonames:5001836,geonames:5037779,geonames:4436296,geonames:4398678,geonames:5667009,geonames:5073708,geonames:5509151,geonames:5090174,geonames:5101760,geonames:5481136,geonames:5128638,geonames:4482348,geonames:5690763,geonames:5165418,geonames:4544379,geonames:5744337,geonames:6254927,geonames:5224323,geonames:4597040,geonames:5769223,geonames:4662168,geonames:4736286,geonames:5549030,geonames:5242283,geonames:6254928,geonames:4140963,geonames:4826850,geonames:5279468,geonames:5843591,geonames:5880801,geonames:4043988,geonames:4041468,geonames:4566966,geonames:4796775
geonames:4197000,20.183962264150942,0.0660377358490566,7.617924528301887,8.617924528301886,27.82547169811321,13.415094339622641,4.136792452830188,0.0,0.0,119.11792452830188,37.410377358490564,0.42452830188679247,0.0,27.787735849056602,14.334905660377359,2.438679245283019,1.7735849056603774,15.316037735849056,23.183962264150942,0.5471698113207547,11.306603773584905,10.622641509433961,14.264150943396226,8.933962264150944,10.10377358490566,16.787735849056602,0.18867924528301888,3.391509433962264,8.61320754716981,0.07547169811320754,12.95754716981132,0.9811320754716981,34.117924528301884,50.306603773584904,0.08018867924528301,16.9811320754717,6.084905660377358,2.231132075471698,23.985849056603772,1.240566037735849,24.443396226415093,0.38207547169811323,30.45754716981132,55.033018867924525,7.202830188679245,0.42924528301886794,43.06132075471698,5.740566037735849,2.7122641509433962,7.768867924528302,0.2641509433962264,0.0,0.0,0.0,2.5141509433962264,1.4433962264150944
geonames:5855797,0.0,0.8915094339622641,2.556603773584906,0.0,40.9622641509434,1.7452830188679245,0.0,0.0,0.0,0.0,0.4339622641509434,129.31132075471697,0.0,1.2358490566037736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3018867924528302,0.02830188679245283,0.32547169811320753,0.0,0.0,0.0,0.0,1.320754716981132,0.0,0.42924528301886794,0.0,0.4386792452830189,0.0,0.0,0.0,0.0,3.1320754716981134,0.0,0.0,0.0,0.0,0.0,2.910377358490566,0.6981132075471698,0.0,0.15566037735849056,9.410377358490566,0.0,0.0,0.0,0.12264150943396226,1.0047169811320755,0.0,0.0,0.0
geonames:5596512,0.0,0.0,2.693396226415094,0.0,13.09433962264151,7.3254716981132075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7122641509433962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716981132075472,0.0,0.0,0.0,0.0,2.047169811320755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.330188679245283,0.0,0.0,0.0,0.0,0.0,2.7264150943396226,14.518867924528301,0.0,0.0,7.070754716981132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geonames:4896861,3.919811320754717,0.3113207547169811,20.330188679245282,5.4575471698113205,48.759433962264154,23.264150943396228,5.632075471698113,0.0,0.0,79.83490566037736,27.806603773584907,1.2358490566037736,1.7028301886792452,25.504716981132077,15.754716981132075,14.476415094339623,4.226415094339623,22.14622641509434,6.89622641509434,1.5613207547169812,10.306603773584905,15.75,41.033018867924525,25.28301886792453,0.9245283018867925,29.56132075471698,1.9811320754716981,11.216981132075471,16.86320754716981,2.0283018867924527,8.5,3.042452830188679,46.85377358490566,23.952830188679247,2.8962264150943398,28.64622641509434,6.537735849056604,4.665094339622642,29.245283018867923,3.608490566037736,5.471698113207547,3.2830188679245285,22.735849056603772,58.509433962264154,8.306603773584905,1.1745283018867925,31.00943396226415,10.424528301886792,2.518867924528302,19.306603773584907,1.150943396226415,0.0,0.0,0.0,1.6981132075471699,0.20754716981132076
geonames:4921868,0.0,0.0,3.6839622641509435,0.0,1.75,5.386792452830188,0.0,0.0,0.0,21.63679245283019,14.268867924528301,0.0,0.0,15.415094339622641,0.0,0.0,0.0,0.0,0.1509433962264151,0.0,3.231132075471698,1.2028301886792452,10.45754716981132,3.811320754716981,0.0,1.0235849056603774,0.0,0.0,3.9245283018867925,0.0,2.3537735849056602,0.0,4.504716981132075,9.721698113207546,0.0,0.0,0.0,0.0,3.358490566037736,0.0,0.4056603773584906,0.0,0.0047169811320754715,13.64622641509434,0.41037735849056606,0.0,4.962264150943396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geonames:4862182,0.0,0.0,3.419811320754717,0.0,0.09433962264150944,5.504716981132075,0.0,0.0,0.0,3.061320754716981,2.4339622641509435,0.0,0.0,14.433962264150944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1792452830188678,5.415094339622642,0.0,2.0047169811320753,0.0,0.0,1.5660377358490567,0.0,0.009433962264150943,0.0,0.4386792452830189,5.056603773584905,0.0,0.0,0.0,0.0,0.6792452830188679,0.0,0.0,0.009433962264150943,0.49056603773584906,7.471698113207547,0.3632075471698113,0.0,1.2075471698113207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geonames:4273857,0.0,0.0,1.4811320754716981,0.0,0.08018867924528301,6.90566037735849,0.0,0.0,0.0,0.38207547169811323,1.7735849056603774,0.0,0.0,4.216981132075472,0.0,0.0,1.9858490566037736,0.0,0.0,0.0,0.0,0.0,0.0,1.1462264150943395,0.0,1.929245283018868,0.0,0.0,0.8584905660377359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.04245283018868,0.0,0.0,0.0,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0,0.0
geonames:6254925,0.0,0.0,1.759433962264151,0.0,1.580188679245283,4.183962264150943,0.33962264150943394,0.0,0.0,22.36320754716981,15.306603773584905,0.0,0.0,21.599056603773583,0.0,0.0,0.0,0.0,0.5707547169811321,0.0,5.721698113207547,1.5660377358490567,8.235849056603774,4.382075471698113,0.0,1.099056603773585,0.0,0.0,2.042452830188679,0.0,3.7641509433962264,0.0,6.867924528301887,12.834905660377359,0.0,0.0,0.0,0.0,4.716981132075472,0.08018867924528301,0.6037735849056604,0.0,0.014150943396226415,16.787735849056602,1.179245283018868,0.0,7.1084905660377355,0.2358490566037736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geonames:4331987,0.0,0.0,1.6886792452830188,0.0,5.971698113207547,5.061320754716981,0.0,0.0,0.0,13.212264150943396,23.29245283018868,0.0,0.0,6.778301886792453,0.1509433962264151,0.0,0.0,0.5707547169811321,0.0,0.0,3.330188679245283,1.6603773584905661,2.297169811320755,0.9669811320754716,0.0,1.830188679245283,0.0,0.0,2.0283018867924527,0.0,2.6226415094339623,0.0,4.349056603773585,9.858490566037736,0.0,0.27358490566037735,0.0,0.0,1.4764150943396226,0.0,0.014150943396226415,0.0,3.1792452830188678,58.910377358490564,0.5849056603773585,0.0,5.471698113207547,1.2075471698113207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geonames:4971068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8820754716981132,0.5518867924528302,0.0,0.0,1.7924528301886793,0.0,0.0,0.0,0.0,0.0,0.0,2.957547169811321,0.0,1.8632075471698113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4575471698113207,0.0,4.452830188679245,2.6556603773584904,0.0,0.0,0.0,0.0,2.080188679245283,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,3.8726415094339623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
