MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,DEST,DEST_STATE_FIPS,DEST_STATE_NM,Var13_1,ORIGIN_FIPS,DES_FIPS,NUM_SEATS
2,15,2020-02-15,YX,N235JQ,6057,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,15,2020-02-15,YX,N874RW,6061,LGA,36,New York,ROC,36,New York,,36081,36055,69
2,15,2020-02-15,YX,N874RW,6061,ROC,36,New York,LGA,36,New York,,36055,36081,69
2,15,2020-02-15,YX,N208JQ,6062,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,15,2020-02-15,YX,N824MD,6064,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,69
2,15,2020-02-15,YX,N879RW,6065,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,69
2,15,2020-02-15,YX,N357FC,6131,ROC,36,New York,LGA,36,New York,,36055,36081,69
2,16,2020-02-16,YX,N227JQ,5628,BUF,36,New York,LGA,36,New York,,36029,36081,76
2,16,2020-02-16,YX,N209JQ,5646,BUF,36,New York,LGA,36,New York,,36029,36081,76
2,16,2020-02-16,YX,N209JQ,5646,LGA,36,New York,BUF,36,New York,,36081,36029,76
2,16,2020-02-16,YX,N208JQ,5881,LGA,36,New York,SYR,36,New York,,36081,36067,76
2,16,2020-02-16,YX,N243JQ,5894,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,16,2020-02-16,YX,N209JQ,5917,SYR,36,New York,LGA,36,New York,,36067,36081,76
2,16,2020-02-16,YX,N357FC,6012,LGA,36,New York,ROC,36,New York,,36081,36055,69
2,16,2020-02-16,YX,N214JQ,6118,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,16,2020-02-16,YX,N214JQ,6128,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,76
2,16,2020-02-16,YX,N217JQ,6131,ROC,36,New York,LGA,36,New York,,36055,36081,76
2,17,2020-02-17,YX,N227JQ,5612,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,17,2020-02-17,YX,N227JQ,5627,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,17,2020-02-17,YX,N227JQ,5640,LGA,36,New York,ROC,36,New York,,36081,36055,76
2,17,2020-02-17,YX,N227JQ,5640,ROC,36,New York,LGA,36,New York,,36055,36081,76
2,17,2020-02-17,YX,N244JQ,5871,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,17,2020-02-17,YX,N207JQ,5877,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,17,2020-02-17,YX,N213JQ,5894,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,17,2020-02-17,YX,N236JQ,5908,BUF,36,New York,LGA,36,New York,,36029,36081,76
2,17,2020-02-17,YX,N236JQ,5908,LGA,36,New York,BUF,36,New York,,36081,36029,76
2,17,2020-02-17,YX,N875RW,5910,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,69
2,17,2020-02-17,YX,N244JQ,5938,BOS,25,Massachusetts,BUF,36,New York,,25025,36029,76
2,17,2020-02-17,YX,N244JQ,5938,BUF,36,New York,BOS,25,Massachusetts,,36029,25025,76
2,17,2020-02-17,YX,N241JQ,5941,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,17,2020-02-17,YX,N879RW,5942,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,69
2,17,2020-02-17,YX,N206JQ,5956,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,17,2020-02-17,YX,N227JQ,5961,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,17,2020-02-17,YX,N869RW,5964,LGA,36,New York,ROC,36,New York,,36081,36055,69
2,17,2020-02-17,YX,N245JQ,5981,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,17,2020-02-17,YX,N243JQ,5992,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,76
2,17,2020-02-17,YX,N875RW,5993,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,69
2,17,2020-02-17,YX,N215JQ,6043,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,17,2020-02-17,YX,N243JQ,6044,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,76
2,17,2020-02-17,YX,N245JQ,6047,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,17,2020-02-17,YX,N215JQ,6056,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,17,2020-02-17,YX,N243JQ,6057,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,17,2020-02-17,YX,N244JQ,6058,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,17,2020-02-17,YX,N357FC,6061,ROC,36,New York,LGA,36,New York,,36055,36081,69
2,17,2020-02-17,YX,N208JQ,6062,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,17,2020-02-17,YX,N208JQ,6063,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,17,2020-02-17,YX,N213JQ,6065,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,17,2020-02-17,YX,N209JQ,6069,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,17,2020-02-17,YX,N860RW,6071,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,69
2,17,2020-02-17,YX,N202JQ,6112,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,17,2020-02-17,YX,N204JQ,6118,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,17,2020-02-17,YX,N204JQ,6128,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,76
2,17,2020-02-17,YX,N208JQ,6131,SYR,36,New York,LGA,36,New York,,36067,36081,76
2,17,2020-02-17,YX,N204JQ,6134,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,18,2020-02-18,YX,N210JQ,5640,LGA,36,New York,ROC,36,New York,,36081,36055,76
2,18,2020-02-18,YX,N210JQ,5640,ROC,36,New York,LGA,36,New York,,36055,36081,76
2,18,2020-02-18,YX,N215JQ,5871,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,18,2020-02-18,YX,N880RW,5894,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,69
2,18,2020-02-18,YX,N205JQ,5908,BUF,36,New York,LGA,36,New York,,36029,36081,76
2,18,2020-02-18,YX,N205JQ,5908,LGA,36,New York,BUF,36,New York,,36081,36029,76
2,18,2020-02-18,YX,N872RW,5910,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,69
2,18,2020-02-18,YX,N239JQ,5938,BOS,25,Massachusetts,BUF,36,New York,,25025,36029,76
2,18,2020-02-18,YX,N239JQ,5938,BUF,36,New York,BOS,25,Massachusetts,,36029,25025,76
2,18,2020-02-18,YX,N231JQ,5941,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,18,2020-02-18,YX,N809MD,5942,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,69
2,18,2020-02-18,YX,N216JQ,5956,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,18,2020-02-18,YX,N203JQ,5961,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,18,2020-02-18,YX,N878RW,5964,LGA,36,New York,ROC,36,New York,,36081,36055,69
2,18,2020-02-18,YX,N815MD,5981,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,69
2,18,2020-02-18,YX,N245JQ,5992,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,76
2,18,2020-02-18,YX,N867RW,5993,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,69
2,18,2020-02-18,YX,N215JQ,6043,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,18,2020-02-18,YX,N205JQ,6047,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,18,2020-02-18,YX,N217JQ,6054,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,18,2020-02-18,YX,N215JQ,6056,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,18,2020-02-18,YX,N204JQ,6057,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,18,2020-02-18,YX,N215JQ,6058,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,18,2020-02-18,YX,N878RW,6061,LGA,36,New York,ROC,36,New York,,36081,36055,69
2,18,2020-02-18,YX,N878RW,6061,ROC,36,New York,LGA,36,New York,,36055,36081,69
2,18,2020-02-18,YX,N211JQ,6062,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,18,2020-02-18,YX,N203JQ,6063,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,18,2020-02-18,YX,N204JQ,6064,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,18,2020-02-18,YX,N215JQ,6065,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,18,2020-02-18,YX,N236JQ,6069,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,18,2020-02-18,YX,N203JQ,6071,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,18,2020-02-18,YX,N233JQ,6086,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,76
2,18,2020-02-18,YX,N210JQ,6112,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,18,2020-02-18,YX,N239JQ,6118,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,76
2,18,2020-02-18,YX,N239JQ,6128,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,76
2,18,2020-02-18,YX,N869RW,6131,ROC,36,New York,LGA,36,New York,,36055,36081,69
